rainfall,date
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,000_1958-07
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,001_1958-08
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,002_1958-09
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,003_1958-10
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
0.0,004_1958-11
