rainfall,date
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
3.7999999999999994,038_1961-09
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
21.6,040_1961-11
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
12.999999999999998,041_1961-12
24.6,042_1962-01
